,Author,Genre,Topics,Book type,Publisher,Publication date,Publisher's recommended age(s),Number of pages,Available on,Last updated,Illustrator,Authors,Awards,Publishers,Award,Illustrators
128,Kate Brian,Coming of Age,,Fiction,Simon Pulse,"June 27, 2006",,240,,"July 15, 2015",,,,,,
129,,Fantasy,"Magic and Fantasy, Brothers and Sisters, Friendship, Misfits and Underdogs",Fiction,Scholastic,"September 29, 2015",8 - 12,208,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","September 17, 2019",,"Sarah Mlynowski, Lauren Myracle, Emily Jenkins",,,,
130,Trent Reedy,Science Fiction,"Adventures, Friendship, Misfits and Underdogs",Fiction,Arthur A. Levine,"February 4, 2015",14 - 17,432,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
131,Booki Vivat,Emotions,"Brothers and Sisters, Friendship, Great Girl Role Models, Middle School",Fiction,HarperCollins Publishers,"September 27, 2016",8 - 12,240,"Nook, Audiobook (unabridged), Hardback, Kindle","June 19, 2019",Bookie Vivat,,,,,
132,Alexandra Day,Picture Book,,Fiction,"Farrar, Straus and Giroux","January 1, 1998",,28,,"September 29, 2015",Alexandra Day,,,,,
133,R.J. Palacio,Coming of Age,"Brothers and Sisters, Friendship, Great Boy Role Models, Misfits and Underdogs",Fiction,Alfred A. Knopf,"February 14, 2012",8 - 12,320,,"June 19, 2019",,,,,,
134,Esther Forbes,Historical Fiction,"Adventures, Friendship, History, Misfits and Underdogs",Fiction,HMH Books for Young Readers,"January 1, 1943",,256,"Paperback, Audiobook (unabridged), Hardback, Kindle","January 30, 2020",Lynd Ward,,,,Newbery Medal and Honors,
135,Tom Angleberger,Humor,"Friendship, Great Boy Role Models, Great Girl Role Models, Misfits and Underdogs",Fiction,Amulet Books,"August 12, 2014",8 - 12,224,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
136,Leslie Connor,Family Life,,Fiction,HarperCollins Children's Books,"February 5, 2008",10 - 14,290,,"July 13, 2017",,,,,,
137,Chris Colfer,Fantasy,"Activism, Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Friendship, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","October 1, 2019",8 - 12,448,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 18, 2019",Brandon Dorman,,,,,
138,,Fantasy,,Fiction,Simon & Schuster,"July 13, 2003",,107,,"April 15, 2019",,"Holly Black, Tony DiTerlizzi",,,,"Holly Black, Tony DiTerlizzi"
139,Margarita Engle,Poetry,"Arts and Dance, Great Boy Role Models, Great Girl Role Models, History",Non-Fiction,"Henry Holt & Company, Inc.","March 14, 2017",8 - 12,48,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Rafael Lopez,,,,,
140,Patricia McCormick,Historical Fiction,History,Fiction,Balzer + Bray,"May 8, 2012",14 - 17,224,,"June 19, 2019",,,,,,
141,Linda Sanders-Wells,Picture Book,,Fiction,Candlewick Press,"April 14, 2009",4 - 8,32,,"July 13, 2017",Abby Carter,,,,,
142,Ray Bradbury,Science Fiction,Arts and Dance,Fiction,Simon & Schuster,"February 1, 1953",,176,,"July 22, 2017",,,,,,
143,Emily Fairlie,Mystery,"Adventures, Brothers and Sisters, Friendship, High School",Fiction,Katherine Tegen Books,"September 23, 2013",8 - 12,288,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Antonio Javier Caparo,,,,,
144,Tamora Pierce,Fantasy,"Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Friendship",Fiction,Scholastic Press,"September 24, 2013",12 - 17,464,"Nook, Hardback, Kindle","March 04, 2020",,,,,,
145,Chris Colfer,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Book Characters, Brothers and Sisters, Fairy Tales, Friendship, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","August 6, 2013",8 - 12,528,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
146,Jerdine Nolen,Picture Book,,Fiction,Harcourt Brace,"February 1, 2004",5 - 7,32,,"July 12, 2017",Kadir Nelson,,,,Coretta Scott King Medal and Honors,
147,Ruth Bornstein,Picture Book,,Fiction,Houghton Mifflin Children's Books,"January 1, 1976",2 - 4,28,,"March 18, 2019",Ruth Bornstein,,,,,
148,Jane Smiley,Picture Book,"Great Girl Role Models, Numbers and Letters",Fiction,Two Lions,"April 1, 2016",3 - 7,32,"Hardback, Kindle","June 19, 2019",Lauren Castillo,,,,,
149,Brittany Cavallaro,Mystery,"Arts and Dance, Book Characters, Friendship, Misfits and Underdogs",Fiction,Katherine Tegen Books,"March 5, 2019",,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","May 08, 2019",,,,,,
150,Ted Bell,Science Fiction,,Fiction,St. Martin's Press,"May 1, 2008",10 - 14,434,,"June 19, 2019",Russ Kramer,,,,,
151,Leah Thomas,Coming of Age,"Adventures, Brothers and Sisters, Friendship, Great Boy Role Models, Great Girl Role Models, High School, Misfits and Underdogs",Fiction,Bloomsbury USA,"February 13, 2018",13 - 18,400,"Nook, Hardback, Kindle","June 19, 2019",,,,,,
152,Jules Feiffer,Family Life,,Fiction,William Morrow,"January 1, 1998",,37,,"September 21, 2015",Jules Feiffer,,,,,
153,Emily Henry,Romance,"Magic and Fantasy, Friendship, Great Girl Role Models, High School",Fiction,Razorbill,"January 26, 2016",12 - 17,400,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
154,Kekla Magoon,Coming of Age,"Brothers and Sisters, Friendship, Misfits and Underdogs",Fiction,Wendy Lamb,"October 16, 2018",8 - 12,304,"Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,Coretta Scott King Medal and Honors,
155,Jennifer Brown,Coming of Age,"Friendship, High School, Misfits and Underdogs",Fiction,"Little, Brown Books for Young Readers","May 21, 2013",15 - 17,288,"Nook, Hardback, iBooks, Kindle","June 20, 2019",,,,,,
156,Barbara Park,Family Life,,Fiction,,"January 1, 1995",,88,,"August 11, 2015",,,,,,
157,Tony Lee,Historical Fiction,,Fiction,Candlewick Press,"September 1, 2009",10 - 17,160,,"July 13, 2017",,,,,,"Artur Fujita, Sam Hart"
158,Diana Peterfreund,Science Fiction,"Friendship, Misfits and Underdogs",Fiction,Balzer + Bray,"June 12, 2012",13 - 17,407,,"July 13, 2017",,,,,,
159,Laurie Wallmark,Picture Book,"STEM, Great Girl Role Models, History, Science and Nature",Non-Fiction,Creston Books,"October 13, 2015",5 - 8,40,Hardback,"March 29, 2019",April Chu,,,,,
160,Ernest Hemingway,Literary Fiction,,Fiction,Scribner,"October 17, 2006",,256,,"September 17, 2015",,,,,,
161,Donna Jo Napoli,Coming of Age,"Arts and Dance, Friendship, High School, Misfits and Underdogs",Fiction,Skyscape,"August 6, 2013",14 - 17,341,"Paperback, Audiobook (unabridged), Hardback, Kindle","June 20, 2019",,,,,,
162,Laurel Snyder,Family Life,"Friendship, Great Girl Role Models, History",Fiction,HarperCollins Children's Books,"January 28, 2014",8 - 12,240,"Nook, Hardback, Kindle","July 13, 2017",,,,,,
163,Matthew Van Fleet,Animals,,Non-Fiction,Simon & Schuster,"February 6, 2007",,16,,"September 20, 2015",Brian Stanton,,,,,
164,,Advice,"Activism, Great Boy Role Models, Great Girl Role Models, History, Misfits and Underdogs",Non-Fiction,Crown Books for Young Readers,"September 4, 2018",8 - 12,96,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","February 10, 2020",,"Wade Hudson, Cheryl Willis Hudson",,,,
165,Matthew Quick,Coming of Age,Misfits and Underdogs,Fiction,"Little, Brown Books for Young Readers","August 13, 2013",15 - 18,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
166,Vaunda Micheaux Nelson,Biography,,Non-Fiction,Carolrhoda Books,"November 1, 2009",9 - 12,40,,"July 13, 2017",R. Gregory Christie,,,,Coretta Scott King Medal and Honors,
167,Aaron Reynolds,Picture Book,"Monsters, Ghosts, and Vampires",Fiction,Simon & Schuster Books for Young Readers,"August 15, 2017",4 - 8,48,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Peter Brown,,,,,
168,Anne Frank,Autobiography,,Non-Fiction,Pocket Books,"June 25, 1947",,258,,"March 27, 2017",,,,,,
169,,Humor,STEM,Fiction,Disney Publishing,"October 14, 2008",10,400,,"March 29, 2019",,"Dave Barry, Ridley Pearson",,,,
170,Veronica Rossi,Science Fiction,"Adventures, Friendship, Misfits and Underdogs",Fiction,HarperCollins Publishers,"January 8, 2013",14 - 17,352,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
171,Kallie George,Picture Book,"Friendship, Holidays, Wild Animals",Fiction,Schwartz & Wade,"October 18, 2016",4 - 8,40,"Nook, Hardback, iBooks, Kindle","October 18, 2017",Stephanie Graegin,,,,,
172,,Fantasy,"Magic and Fantasy, Adventures, Cats, Dogs, and Mice, Friendship, Great Girl Role Models, Misfits and Underdogs, Pirates",Fiction,"Little, Brown and Company","November 11, 2014",8 - 12,448,"Nook, Hardback, iBooks, Kindle","December 14, 2018",Todd Harris,"Carrie Ryan, John Parke Davis",,,,
173,Tim Federle,Coming of Age,"Adventures, Arts and Dance, Friendship, Great Boy Role Models, Misfits and Underdogs",Fiction,Simon & Schuster,"February 5, 2013",9 - 13,288,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 20, 2019",,,,,ALA Best and Notable Books,
174,Jamie Lee Curtis,Picture Book,"Great Boy Role Models, Great Girl Role Models, History",Fiction,Workman Publishing Co.,"September 20, 2016",4 - 8,32,"Hardback, iBooks, Kindle","June 19, 2019",Laura Cornell,,,,,
175,,Picture Book,"Adventures, Brothers and Sisters, Great Boy Role Models, Great Girl Role Models, Science and Nature",Fiction,Harper,"May 10, 2016",4 - 8,40,"Hardback, Kindle","July 13, 2017",Jacqueline Rogers,"Laura Bush, Jenna Bush Hager",,,,
176,Keiko Kasza,Picture Book,,Fiction,Grosset & Dunlap,"September 27, 2003",4 - 7,32,,"June 19, 2019",Keiko Kasza,,,,,
177,,Fantasy,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Fairy Tales, Great Boy Role Models, Great Girl Role Models, Pirates",Fiction,Simon Pulse,"June 26, 2012",12 - 17,368,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,"Jodi Picoult, Samantha Van Leer",,,,
178,Lisa McMann,Fantasy,"Magic and Fantasy, Adventures, Friendship, Middle School, Science and Nature",Fiction,Harper,"October 2, 2018",8 - 12,400,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Brandon Dorman,,,,,
179,Aaron Reynolds,Picture Book,"Friendship, Wild Animals",Fiction,Roaring Brook Press,"August 1, 2017",4 - 8,40,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Matt Davies,,,,,
180,Marilyn Hilton,Poetry,"STEM, Great Girl Role Models, History, Science and Nature, Space and Aliens",Fiction,Dial Books,"September 8, 2015",8 - 12,400,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
181,Marissa Meyer,Graphic Novel,"Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Fairy Tales, Friendship, Monsters, Ghosts, and Vampires, Robots, Space and Aliens",Fiction,Feiwel & Friends,"January 30, 2018",,336,"Nook, Hardback, iBooks, Kindle","June 19, 2019",Stephen Gilpin,,,,,
182,David Klass,Science Fiction,,Fiction,"Farrar, Straus and Giroux","September 1, 2006",,289,,"June 19, 2019",,,,,,
183,Steve Augarde,Fantasy,,Fiction,David Fickling Books,"November 1, 2005",,447,,"September 02, 2015",,,,,,
184,,Humor,"Friendship, Great Boy Role Models, Misfits and Underdogs",Fiction,Amulet Books,"January 12, 2016",8 - 12,224,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",Kevin Cornell,"Mac Barnett, Jory John",,,,
185,Katherine Sturtevant,Historical Fiction,,Fiction,"Farrar, Straus and Giroux","April 1, 2006",,250,,"September 19, 2015",,,,,,
186,Judy Blundell,Mystery,,Fiction,Scholastic Press,"November 1, 2008",12,284,,"July 13, 2017",,,,,,
187,Susan Middleton Elya,Picture Book,,Fiction,Voyager Books,"April 1, 2008",4 - 7,36,,"July 12, 2017",Steven Salerno,,,,,
188,,History,,Fiction,,"December 26, 2007",4 - 8,40,,"July 13, 2017",,"Anne Rockwell, Lizzy Rockwell",,,,
189,Nick Bruel,Animals,"Cats, Dogs, and Mice, Friendship",Fiction,Roaring Brook Press,"January 6, 2015",7 - 10,160,"Nook, Hardback, Kindle","June 20, 2019",,,,,,
190,Mac Barnett,Picture Book,"Adventures, Arts and Dance, Book Characters, Pirates, Wild Animals",Non-Fiction,Disney-Hyperion,"September 6, 2016",4 - 8,48,Hardback,"July 13, 2017",Adam Rex,,,,,
191,Oge Mora,Picture Book,"Cooking and Baking, Friendship, Great Girl Role Models",Fiction,"Little, Brown Books for Young Readers","October 2, 2018",4 - 7,40,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","October 21, 2019",Oge Mora,,,,,
192,,Fantasy,,Fiction,Scholastic Inc.,"February 1, 2009",9 - 12,643,,"June 19, 2019",,"Roderick Gordon, Brian Williams",,,,
193,Lynda Mullaly Hunt,Coming of Age,"Friendship, Great Boy Role Models, Great Girl Role Models, Middle School, Misfits and Underdogs, Ocean Creatures",Fiction,Nancy Paulsen Books,"May 7, 2019",10 - 18,288,"Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
194,Ann Aguirre,Science Fiction,"Magic and Fantasy, High School, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Feiwel and Friends,"August 5, 2014",12 - 18,384,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","May 16, 2019",,,,,,
195,Meg Rosoff,Contemporary Fiction,,Fiction,Random House,"January 2, 2005",,194,,"June 19, 2019",,,,,,
196,Jorge Aguirre,Fairy Tale,"Magic and Fantasy, Princesses, Fairies, Mermaids, and More, Adventures, Brothers and Sisters, Great Girl Role Models",Fiction,First Second,"April 10, 2012",7 - 12,208,Paperback,"July 13, 2017",Rafael Rosado,,,,,
197,,Adventure,"Magic and Fantasy, Adventures, Book Characters, Friendship, Great Girl Role Models, Misfits and Underdogs",Fiction,Aladdin,"April 6, 2010",8 - 12,176,"Paperback, Hardback, iBooks, Kindle","November 22, 2017",,"Joan Holub, Suzanne Williams",,,,
198,Patrick Ness,Fantasy,"Magic and Fantasy, Superheroes, Brothers and Sisters, Friendship, High School",Fiction,HarperTeen,"October 6, 2015",14 - 18,336,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
199,Tamora Pierce,Fantasy,,Fiction,Scholastic Inc.,"November 28, 2005",,550,,"September 08, 2016",,,,,,
200,Cecily von Ziegesar,Coming of Age,,Fiction,"Little, Brown and Company","August 9, 2005",15 - 17,199,,"March 04, 2020",,,,,,
201,Kate Schatz,Biography,"Arts and Dance, Great Girl Role Models, History, Misfits and Underdogs, Science and Nature",Non-Fiction,Ten Speed Press,"October 13, 2016",,104,"Hardback, iBooks, Kindle","June 19, 2019",Miriam Klein Stahl,,,,,
202,Julie T. Lamana,Historical Fiction,"Adventures, Brothers and Sisters, History",Fiction,Chronicle Books,"April 8, 2014",8 - 12,320,"Nook, Hardback, iBooks, Kindle","March 08, 2019",,,,,,
203,Kevin Henkes,Picture Book,"Friendship, Science and Nature",Fiction,Greenwillow Books,"September 1, 2015",4 - 8,32,"Hardback, iBooks, Kindle","July 13, 2017",Kevin Henkes,,"ALA Best and Notable Books, Caldecott Medal and Honors",,,
204,David Small,Autobiography,Misfits and Underdogs,Non-Fiction,W. W. Norton & Co.,"September 1, 2009",17,329,"Paperback, Hardback","July 13, 2017",David Small,,,,,
205,Joanne Cantor,Picture Book,,Fiction,"Goblin Fern Press, Inc.","May 12, 2004",4 - 7,32,,"July 12, 2017",Tom Lowes,,,,,
206,Mary Pope Osborne,Fantasy,,Fiction,Random House,"January 1, 1993",,64,,"March 08, 2019",Sal Murdocca,,,,,
207,Nikki Giovanni,History,"Activism, Great Girl Role Models, History, Misfits and Underdogs",Non-Fiction,"Henry Holt & Company, Inc.","January 25, 2006",4 - 7,40,,"March 29, 2019",Bryan Collier,,"Caldecott Medal and Honors, Coretta Scott King Medal and Honors",,,
208,Sheila O'Connor,Coming of Age,"Brothers and Sisters, Friendship, History, Horses and Farm Animals, Misfits and Underdogs",Fiction,G.P. Putnam's Sons,"October 11, 2012",10 - 17,304,"Nook, Hardback, iBooks, Kindle","July 13, 2017",,,,,,
209,Tommy Wallach,Coming of Age,"Adventures, Brothers and Sisters, Friendship",Fiction,Simon & Schuster Books for Young Readers,"October 3, 2017",14 - 17,400,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
210,Joanne Rocklin,Contemporary Fiction,"Adventures, Brothers and Sisters, Cats, Dogs, and Mice, Friendship",Fiction,Amulet Books,"April 1, 2012",8 - 12,218,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","May 11, 2018",,,,,,
211,Paul O. Zelinsky,Fairy Tale,,Fiction,Penguin Group,"January 1, 1997",4 - 7,44,,"July 12, 2017",Paul O. Zelinsky,,,,Caldecott Medal and Honors,
212,John David Anderson,Fantasy,"Magic and Fantasy, Adventures, Fairy Tales",Fiction,Walden Pond Press,"June 23, 2015",8 - 12,448,"Nook, Hardback, iBooks, App","June 19, 2019",,,,,,
213,Marissa Moss,Fantasy,"Magic and Fantasy, Friendship, Misfits and Underdogs, Monsters, Ghosts, and Vampires",Fiction,Creston Books,"May 13, 2014",8 - 12,136,Hardback,"June 19, 2019",Marissa Moss,,,,,
214,Louis Sachar,Contemporary Fiction,"Friendship, Science and Nature",Fiction,Delacorte Press,"August 4, 2015",10 - 18,192,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
215,Jacqueline Green,Mystery,"Friendship, High School, Misfits and Underdogs",Fiction,Poppy,"May 14, 2013",,400,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
216,Ann Banks,Family Life,,Fiction,Apple,"January 1, 1980",,44,,"November 15, 2019",True Kelley,,,,,
217,Cecily von Ziegesar,Coming of Age,,Fiction,"Little, Brown and Company","January 6, 2006",15,272,,"July 12, 2017",,,,,,
218,Kate Bernheimer,Fantasy,,Fiction,Schwartz & Wade,"February 12, 2008",4 - 7,40,,"July 12, 2017",Nicoletta Ceccoli,,,,,
219,Chris Grabenstein,Horror,,Fiction,Random House,"May 1, 2008",8 - 12,325,,"July 13, 2017",,,,,,
220,Gail Carriger,Fantasy,"Magic and Fantasy, Adventures, Arts and Dance, Friendship, Great Girl Role Models, Monsters, Ghosts, and Vampires, Science and Nature",Fiction,"Little, Brown Books for Young Readers","November 11, 2013",12 - 17,320,"Nook, Hardback, iBooks, Kindle","June 19, 2019",,,,,,
221,Daniel Ehrenhaft,Coming of Age,,Fiction,Razorbill,"October 5, 2006",14,272,,"July 12, 2017",,,,,,
222,Jeff Kinney,Humor,"Adventures, Brothers and Sisters, Friendship, Middle School, Misfits and Underdogs",Fiction,Amulet Books,"October 30, 2018",8 - 12,224,"Paperback, Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","November 15, 2019",Jeff Kinney,,,,,
223,Holly Hobbie,Picture Book,,Fiction,"Little, Brown Books for Young Readers","September 1, 2008",4 - 7,40,,"July 13, 2017",Holly Hobbie,,,,,
224,William Goldman,Fantasy,"Princesses, Fairies, Mermaids, and More",Fiction,Del Rey,"January 1, 1973",,400,,"October 14, 2019",,,,,,
225,,Picture Book,"STEM, Dinosaurs, Great Boy Role Models, Great Girl Role Models, Ocean Creatures, Science and Nature, Space and Aliens, Wild Animals",Fiction,Dial Books for Young Readers,"May 16, 2017",3 - 5,40,"Hardback, Kindle","March 29, 2019",David Soman,"David Soman, Jacky Davis",,,,
226,Mac Barnett,Picture Book,Friendship,Fiction,Candlewick,"March 5, 2019",5 - 7,48,"Hardback, Kindle","June 19, 2019",Jon Klassen,,,,,
227,Lita Judge,Picture Book,"Cats, Dogs, and Mice, Friendship, Wild Animals",Fiction,Atheneum,"November 1, 2011",2 - 5,32,"Hardback, Kindle","July 13, 2017",,,,,,
228,Andrew Smith,Science Fiction,"Brothers and Sisters, Friendship, History",Fiction,Dutton Children's Books,"March 10, 2015",14 - 18,304,"Nook, Audiobook (unabridged), Hardback, iBooks, Kindle","June 19, 2019",,,,,,
229,Dugald A. Steer,Fantasy,,Fiction,Candlewick Press,"November 8, 2006",,28,,"September 23, 2015",,,,,,
230,David Soman,Picture Book,"Adventures, Brothers and Sisters, Friendship, Wild Animals",Fiction,Dial,"May 20, 2014",3 - 5,40,"Nook, Hardback, iBooks, Kindle","July 13, 2017",David Soman,,,,,
231,Max Brallier,Fantasy,"Magic and Fantasy, Adventures, Friendship, Monsters, Ghosts, and Vampires",Fiction,Viking Books for Young Readers,"September 6, 2016",8 - 12,304,"Nook, Hardback, iBooks, Kindle","June 20, 2019",Doulgas Holgate,,,,,
